SALT LAKE CITY INTERNATIONAL AIRPORT,05/25/21,62
SALT LAKE CITY INTERNATIONAL AIRPORT,05/26/21,65
SALT LAKE CITY INTERNATIONAL AIRPORT,05/27/21,64
SALT LAKE CITY INTERNATIONAL AIRPORT,05/28/21,71
SALT LAKE CITY INTERNATIONAL AIRPORT,05/29/21,68
SALT LAKE CITY INTERNATIONAL AIRPORT,05/30/21,68
SALT LAKE CITY INTERNATIONAL AIRPORT,05/31/21,71
SALT LAKE CITY INTERNATIONAL AIRPORT,06/01/21,74
SALT LAKE CITY INTERNATIONAL AIRPORT,06/02/21,77
SALT LAKE CITY INTERNATIONAL AIRPORT,06/03/21,80
SALT LAKE CITY INTERNATIONAL AIRPORT,06/04/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,06/05/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,06/06/21,79
SALT LAKE CITY INTERNATIONAL AIRPORT,06/07/21,81
SALT LAKE CITY INTERNATIONAL AIRPORT,06/08/21,83
SALT LAKE CITY INTERNATIONAL AIRPORT,06/09/21,81
SALT LAKE CITY INTERNATIONAL AIRPORT,06/10/21,75
SALT LAKE CITY INTERNATIONAL AIRPORT,06/11/21,60
SALT LAKE CITY INTERNATIONAL AIRPORT,06/12/21,72
SALT LAKE CITY INTERNATIONAL AIRPORT,06/13/21,80
SALT LAKE CITY INTERNATIONAL AIRPORT,06/14/21,87
SALT LAKE CITY INTERNATIONAL AIRPORT,06/15/21,91
SALT LAKE CITY INTERNATIONAL AIRPORT,06/16/21,86
SALT LAKE CITY INTERNATIONAL AIRPORT,06/17/21,83
SALT LAKE CITY INTERNATIONAL AIRPORT,06/18/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,06/19/21,91
SALT LAKE CITY INTERNATIONAL AIRPORT,06/20/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,06/21/21,81
SALT LAKE CITY INTERNATIONAL AIRPORT,06/22/21,86
SALT LAKE CITY INTERNATIONAL AIRPORT,06/23/21,86
SALT LAKE CITY INTERNATIONAL AIRPORT,06/24/21,78
SALT LAKE CITY INTERNATIONAL AIRPORT,06/25/21,72
SALT LAKE CITY INTERNATIONAL AIRPORT,06/26/21,77
SALT LAKE CITY INTERNATIONAL AIRPORT,06/27/21,81
SALT LAKE CITY INTERNATIONAL AIRPORT,06/28/21,82
SALT LAKE CITY INTERNATIONAL AIRPORT,06/29/21,83
SALT LAKE CITY INTERNATIONAL AIRPORT,06/30/21,80
SALT LAKE CITY INTERNATIONAL AIRPORT,07/01/21,80
SALT LAKE CITY INTERNATIONAL AIRPORT,07/02/21,84
SALT LAKE CITY INTERNATIONAL AIRPORT,07/03/21,86
SALT LAKE CITY INTERNATIONAL AIRPORT,07/04/21,87
SALT LAKE CITY INTERNATIONAL AIRPORT,07/05/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,07/06/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,07/07/21,89
SALT LAKE CITY INTERNATIONAL AIRPORT,07/08/21,90
SALT LAKE CITY INTERNATIONAL AIRPORT,07/09/21,90
SALT LAKE CITY INTERNATIONAL AIRPORT,07/10/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,07/11/21,86
SALT LAKE CITY INTERNATIONAL AIRPORT,07/12/21,88
SALT LAKE CITY INTERNATIONAL AIRPORT,07/13/21,91
SALT LAKE CITY INTERNATIONAL AIRPORT,07/14/21,87
SALT LAKE CITY INTERNATIONAL AIRPORT,07/15/21,86
SALT LAKE CITY INTERNATIONAL AIRPORT,07/16/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,07/17/21,86
SALT LAKE CITY INTERNATIONAL AIRPORT,07/18/21,89
